# Character compiler golden vectors.
# GENERATED by scripts/generate-character-vectors.mjs -- do not edit by hand.
# Tab-separated: seed, age, nominalHeightMeters, then role=x,y,z,scale per bone,
# then morph=value. Floats are fixed to 6 decimals.
seed	age	height	bones	morphs
3	0	0.477376	root=0.000000,0.950000,0.000000,0.280000 spine=0.000000,0.117066,0.000000,1.000000 chest=0.000000,0.136577,0.000000,1.000000 neck=0.000000,0.156087,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.879699 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.088732,0.000000,0.000000,1.000000 foreArmL=0.184290,0.000000,0.000000,1.000000 handL=0.170639,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.088732,0.000000,0.000000,1.000000 foreArmR=-0.184290,0.000000,0.000000,1.000000 handR=-0.170639,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.224224,0.000000,1.000000 footL=0.000000,-0.214032,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.224224,0.000000,1.000000 footR=0.000000,-0.214032,0.000000,1.000000	bodyMass=0.248963 cheekbone=0.133711 eyeScale=-0.564246 jawWidth=0.133849 noseSize=-0.192425
3	5	0.992639	root=0.000000,0.950000,0.000000,0.582222 spine=0.000000,0.117066,0.000000,1.000000 chest=0.000000,0.136577,0.000000,1.000000 neck=0.000000,0.156087,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.420217 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.104237,0.000000,0.000000,1.000000 foreArmL=0.216491,0.000000,0.000000,1.000000 handL=0.200455,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.104237,0.000000,0.000000,1.000000 foreArmR=-0.216491,0.000000,0.000000,1.000000 handR=-0.200455,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.263403,0.000000,1.000000 footL=0.000000,-0.251430,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.263403,0.000000,1.000000 footR=0.000000,-0.251430,0.000000,1.000000	bodyMass=0.248963 cheekbone=0.133711 eyeScale=-0.564246 jawWidth=0.133849 noseSize=-0.192425
3	12	1.363932	root=0.000000,0.950000,0.000000,0.800000 spine=0.000000,0.117066,0.000000,1.000000 chest=0.000000,0.136577,0.000000,1.000000 neck=0.000000,0.156087,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.127820 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.125943,0.000000,0.000000,1.000000 foreArmL=0.261573,0.000000,0.000000,1.000000 handL=0.242197,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.125943,0.000000,0.000000,1.000000 foreArmR=-0.261573,0.000000,0.000000,1.000000 handR=-0.242197,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.318253,0.000000,1.000000 footL=0.000000,-0.303787,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.318253,0.000000,1.000000 footR=0.000000,-0.303787,0.000000,1.000000	bodyMass=0.248963 cheekbone=0.133711 eyeScale=-0.564246 jawWidth=0.133849 noseSize=-0.192425
3	18	1.704914	root=0.000000,0.950000,0.000000,1.000000 spine=0.000000,0.117066,0.000000,1.000000 chest=0.000000,0.136577,0.000000,1.000000 neck=0.000000,0.156087,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.143117,0.000000,0.000000,1.000000 foreArmL=0.297242,0.000000,0.000000,1.000000 handL=0.275224,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.143117,0.000000,0.000000,1.000000 foreArmR=-0.297242,0.000000,0.000000,1.000000 handR=-0.275224,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.361651,0.000000,1.000000 footL=0.000000,-0.345213,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.361651,0.000000,1.000000 footR=0.000000,-0.345213,0.000000,1.000000	bodyMass=0.248963 cheekbone=0.133711 eyeScale=-0.564246 jawWidth=0.133849 noseSize=-0.192425
3	40	1.690488	root=0.000000,0.950000,0.000000,0.991538 spine=0.000000,0.117066,0.000000,1.000000 chest=0.000000,0.136577,0.000000,1.000000 neck=0.000000,0.156087,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.143117,0.000000,0.000000,1.000000 foreArmL=0.297242,0.000000,0.000000,1.000000 handL=0.275224,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.143117,0.000000,0.000000,1.000000 foreArmR=-0.297242,0.000000,0.000000,1.000000 handR=-0.275224,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.361651,0.000000,1.000000 footL=0.000000,-0.345213,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.361651,0.000000,1.000000 footR=0.000000,-0.345213,0.000000,1.000000	bodyMass=0.248963 cheekbone=0.133711 eyeScale=-0.564246 jawWidth=0.133849 noseSize=-0.192425
7	0	0.545407	root=0.000000,0.950000,0.000000,0.280000 spine=0.000000,0.150867,0.000000,1.000000 chest=0.000000,0.176011,0.000000,1.000000 neck=0.000000,0.201155,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.879699 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.109318,0.000000,0.000000,1.000000 foreArmL=0.227046,0.000000,0.000000,1.000000 handL=0.210227,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.109318,0.000000,0.000000,1.000000 foreArmR=-0.227046,0.000000,0.000000,1.000000 handR=-0.210227,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.310220,0.000000,1.000000 footL=0.000000,-0.296119,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.310220,0.000000,1.000000 footR=0.000000,-0.296119,0.000000,1.000000	bodyMass=0.285173 cheekbone=0.234753 eyeScale=-0.370219 jawWidth=-0.483021 noseSize=0.033736
7	5	1.134100	root=0.000000,0.950000,0.000000,0.582222 spine=0.000000,0.150867,0.000000,1.000000 chest=0.000000,0.176011,0.000000,1.000000 neck=0.000000,0.201155,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.420217 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.128420,0.000000,0.000000,1.000000 foreArmL=0.266718,0.000000,0.000000,1.000000 handL=0.246961,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.128420,0.000000,0.000000,1.000000 foreArmR=-0.266718,0.000000,0.000000,1.000000 handR=-0.246961,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.364426,0.000000,1.000000 footL=0.000000,-0.347861,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.364426,0.000000,1.000000 footR=0.000000,-0.347861,0.000000,1.000000	bodyMass=0.285173 cheekbone=0.234753 eyeScale=-0.370219 jawWidth=-0.483021 noseSize=0.033736
7	12	1.558305	root=0.000000,0.950000,0.000000,0.800000 spine=0.000000,0.150867,0.000000,1.000000 chest=0.000000,0.176011,0.000000,1.000000 neck=0.000000,0.201155,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.127820 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.155161,0.000000,0.000000,1.000000 foreArmL=0.322258,0.000000,0.000000,1.000000 handL=0.298387,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.155161,0.000000,0.000000,1.000000 foreArmR=-0.322258,0.000000,0.000000,1.000000 handR=-0.298387,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.440313,0.000000,1.000000 footL=0.000000,-0.420299,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.440313,0.000000,1.000000 footR=0.000000,-0.420299,0.000000,1.000000	bodyMass=0.285173 cheekbone=0.234753 eyeScale=-0.370219 jawWidth=-0.483021 noseSize=0.033736
7	18	1.947881	root=0.000000,0.950000,0.000000,1.000000 spine=0.000000,0.150867,0.000000,1.000000 chest=0.000000,0.176011,0.000000,1.000000 neck=0.000000,0.201155,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.176320,0.000000,0.000000,1.000000 foreArmL=0.366203,0.000000,0.000000,1.000000 handL=0.339076,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.176320,0.000000,0.000000,1.000000 foreArmR=-0.366203,0.000000,0.000000,1.000000 handR=-0.339076,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.500355,0.000000,1.000000 footL=0.000000,-0.477612,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.500355,0.000000,1.000000 footR=0.000000,-0.477612,0.000000,1.000000	bodyMass=0.285173 cheekbone=0.234753 eyeScale=-0.370219 jawWidth=-0.483021 noseSize=0.033736
7	40	1.931399	root=0.000000,0.950000,0.000000,0.991538 spine=0.000000,0.150867,0.000000,1.000000 chest=0.000000,0.176011,0.000000,1.000000 neck=0.000000,0.201155,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.176320,0.000000,0.000000,1.000000 foreArmL=0.366203,0.000000,0.000000,1.000000 handL=0.339076,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.176320,0.000000,0.000000,1.000000 foreArmR=-0.366203,0.000000,0.000000,1.000000 handR=-0.339076,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.500355,0.000000,1.000000 footL=0.000000,-0.477612,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.500355,0.000000,1.000000 footR=0.000000,-0.477612,0.000000,1.000000	bodyMass=0.285173 cheekbone=0.234753 eyeScale=-0.370219 jawWidth=-0.483021 noseSize=0.033736
11	0	0.478439	root=0.000000,0.950000,0.000000,0.280000 spine=0.000000,0.132716,0.000000,1.000000 chest=0.000000,0.154836,0.000000,1.000000 neck=0.000000,0.176955,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.879699 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.092701,0.000000,0.000000,1.000000 foreArmL=0.192534,0.000000,0.000000,1.000000 handL=0.178272,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.092701,0.000000,0.000000,1.000000 foreArmR=-0.192534,0.000000,0.000000,1.000000 handR=-0.178272,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.264327,0.000000,1.000000 footL=0.000000,-0.252312,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.264327,0.000000,1.000000 footR=0.000000,-0.252312,0.000000,1.000000	bodyMass=0.254820 cheekbone=0.343129 eyeScale=0.428052 jawWidth=-0.671526 noseSize=0.454924
11	5	0.994849	root=0.000000,0.950000,0.000000,0.582222 spine=0.000000,0.132716,0.000000,1.000000 chest=0.000000,0.154836,0.000000,1.000000 neck=0.000000,0.176955,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.420217 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.108899,0.000000,0.000000,1.000000 foreArmL=0.226175,0.000000,0.000000,1.000000 handL=0.209422,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.108899,0.000000,0.000000,1.000000 foreArmR=-0.226175,0.000000,0.000000,1.000000 handR=-0.209422,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.310513,0.000000,1.000000 footL=0.000000,-0.296398,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.310513,0.000000,1.000000 footR=0.000000,-0.296398,0.000000,1.000000	bodyMass=0.254820 cheekbone=0.343129 eyeScale=0.428052 jawWidth=-0.671526 noseSize=0.454924
11	12	1.366968	root=0.000000,0.950000,0.000000,0.800000 spine=0.000000,0.132716,0.000000,1.000000 chest=0.000000,0.154836,0.000000,1.000000 neck=0.000000,0.176955,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.127820 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.131576,0.000000,0.000000,1.000000 foreArmL=0.273274,0.000000,0.000000,1.000000 handL=0.253031,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.131576,0.000000,0.000000,1.000000 foreArmR=-0.273274,0.000000,0.000000,1.000000 handR=-0.253031,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.375173,0.000000,1.000000 footL=0.000000,-0.358120,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.375173,0.000000,1.000000 footR=0.000000,-0.358120,0.000000,1.000000	bodyMass=0.254820 cheekbone=0.343129 eyeScale=0.428052 jawWidth=-0.671526 noseSize=0.454924
11	18	1.708709	root=0.000000,0.950000,0.000000,1.000000 spine=0.000000,0.132716,0.000000,1.000000 chest=0.000000,0.154836,0.000000,1.000000 neck=0.000000,0.176955,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.149518,0.000000,0.000000,1.000000 foreArmL=0.310538,0.000000,0.000000,1.000000 handL=0.287535,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.149518,0.000000,0.000000,1.000000 foreArmR=-0.310538,0.000000,0.000000,1.000000 handR=-0.287535,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.426333,0.000000,1.000000 footL=0.000000,-0.406954,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.426333,0.000000,1.000000 footR=0.000000,-0.406954,0.000000,1.000000	bodyMass=0.254820 cheekbone=0.343129 eyeScale=0.428052 jawWidth=-0.671526 noseSize=0.454924
11	40	1.694251	root=0.000000,0.950000,0.000000,0.991538 spine=0.000000,0.132716,0.000000,1.000000 chest=0.000000,0.154836,0.000000,1.000000 neck=0.000000,0.176955,0.000000,1.000000 head=0.000000,0.090000,0.000000,1.000000 shoulderL=0.050000,0.050000,0.000000,1.000000 upperArmL=0.149518,0.000000,0.000000,1.000000 foreArmL=0.310538,0.000000,0.000000,1.000000 handL=0.287535,0.000000,0.000000,1.000000 shoulderR=-0.050000,0.050000,0.000000,1.000000 upperArmR=-0.149518,0.000000,0.000000,1.000000 foreArmR=-0.310538,0.000000,0.000000,1.000000 handR=-0.287535,0.000000,0.000000,1.000000 upLegL=0.090000,-0.050000,0.000000,1.000000 legL=0.000000,-0.426333,0.000000,1.000000 footL=0.000000,-0.406954,0.000000,1.000000 upLegR=-0.090000,-0.050000,0.000000,1.000000 legR=0.000000,-0.426333,0.000000,1.000000 footR=0.000000,-0.406954,0.000000,1.000000	bodyMass=0.254820 cheekbone=0.343129 eyeScale=0.428052 jawWidth=-0.671526 noseSize=0.454924
